Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LotFrontagenan,MasVnrAreanan,GarageYrBltnan
1,60,3,-1.0301533560860319,-0.23659893826695091,1,2,0,1,1,0,0,14,2,1,3,5,7,5,2003,2003,0,0,10,10,2,196.0,2,3,4,3,3,1,6,706,5,0,150,856,2,4,1,3,-0.4353474952867909,854,0,-0.3611691051513472,1,0,2,1,3,1,2,8,4,0,1,4,2003.0,2,2,548,2,3,2,0,61,0,0,0,0,0,3,2,0,2,2008,2,3,-0.08509662652756418,0,0,0
2,20,3,-0.9406881137783641,-0.2285936694721378,1,2,0,1,1,2,0,11,1,1,3,3,6,8,1976,1976,0,0,4,3,1,0.0,1,3,2,3,3,4,4,978,5,0,284,1262,2,4,1,3,-0.3917290909060636,0,0,-0.3917290909060636,0,1,2,0,3,1,1,6,4,1,3,4,1976.0,2,2,460,2,3,2,298,0,0,0,0,0,0,3,2,0,5,2007,2,3,-0.0900694104730802,0,0,0
3,60,3,-1.0093725426622215,-0.21895093276171554,1,2,1,1,1,0,0,14,2,1,3,5,7,5,2001,2002,0,0,10,10,2,162.0,2,3,4,3,3,2,6,486,5,0,434,920,2,4,1,3,-0.42681255612278785,866,0,-0.35702018924765583,1,0,2,1,3,1,2,6,4,1,3,4,2001.0,2,2,608,2,3,2,0,42,0,0,0,0,0,3,2,0,9,2008,2,3,-0.08264419291749016,0,0,0
4,70,3,-1.069119436254559,-0.2289168648806012,1,2,1,1,1,1,0,16,2,1,3,5,7,5,1915,1970,0,0,2,4,1,0.0,1,3,1,2,4,1,4,216,5,0,540,756,2,3,1,3,-0.42175224886733265,756,0,-0.3607770556982837,1,0,1,0,3,1,2,7,4,1,4,2,1998.0,1,3,642,2,3,2,0,35,272,0,0,0,0,3,2,0,2,2006,2,0,-0.09966608830757201,0,0,0
5,60,3,-0.9217423241424862,-0.20513377921197837,1,2,1,1,1,2,0,22,2,1,3,5,8,5,2000,2000,0,0,10,10,2,350.0,2,3,4,3,3,3,6,655,5,0,490,1145,2,4,1,3,-0.4021451532610757,1053,0,-0.33792488537361876,1,0,2,1,4,1,2,9,4,1,3,4,2000.0,2,3,836,2,3,2,192,84,0,0,0,0,0,3,2,0,12,2008,2,3,-0.07874164940431379,0,0,0
6,50,3,-0.9172522314498426,-0.20571530825765494,1,2,1,1,1,0,0,9,2,1,3,1,5,5,1993,1995,0,0,10,10,1,0.0,1,3,3,3,3,1,6,732,5,0,64,796,2,4,1,3,-0.4441675299885134,566,0,-0.38378695799979634,1,0,1,1,1,1,1,5,4,0,1,4,1993.0,1,2,480,2,3,2,40,30,0,320,0,0,0,2,1,700,10,2009,2,3,-0.09886781147901365,0,0,0
7,20,3,-0.9668839671711909,-0.2255675255410759,1,2,0,1,1,0,0,18,2,1,3,3,8,5,2004,2005,0,0,10,10,4,186.0,2,3,4,4,3,3,6,1369,5,0,317,1686,2,4,1,3,-0.3620730895242304,0,0,-0.3620730895242304,1,0,2,0,3,1,2,7,4,1,4,4,2004.0,2,2,636,2,3,2,255,57,0,0,0,0,0,3,2,0,8,2007,2,3,-0.07175247313349223,0,0,0
8,60,3,-1.0028194197605125,-0.22379103352143842,1,2,1,1,1,1,0,12,5,1,3,5,7,6,1973,1973,0,0,6,6,4,240.0,1,3,2,3,3,2,4,859,1,32,216,1107,2,4,1,3,-0.40583539194241736,983,0,-0.34245566592486815,1,0,2,1,3,1,1,7,4,2,3,4,1973.0,2,2,484,2,3,2,235,204,228,0,0,0,0,3,1,350,11,2009,2,3,-0.08657816114697549,1,0,0
9,50,1,-1.1578643093988554,-0.25790298029268655,1,2,0,1,1,0,0,4,0,1,3,1,7,5,1931,1950,0,0,8,4,1,0.0,1,3,1,2,3,1,5,0,5,0,952,952,2,3,1,1,-0.4147346070814553,752,0,-0.357659916506203,0,0,2,0,2,2,1,8,3,2,3,2,1931.0,1,2,468,1,3,2,90,0,205,0,0,0,0,3,2,0,4,2008,2,0,-0.10250657127890717,0,0,0
10,190,3,-1.1696950179202557,-0.24499346465266578,1,2,0,1,1,1,0,3,0,0,0,2,5,6,1939,1950,0,0,4,3,1,0.0,1,3,1,2,3,1,6,851,5,0,140,991,2,4,1,3,-0.4088694484377183,0,0,-0.4088694484377183,1,0,1,0,2,2,1,5,4,2,3,4,1939.0,2,1,205,3,3,2,0,4,0,0,0,0,0,3,2,0,1,2008,2,3,-0.10620084844620316,0,0,0
11,20,3,-0.9964393026543474,-0.2192172455086203,1,2,0,1,1,0,0,6,2,1,3,3,5,5,1965,1965,2,0,6,6,1,0.0,1,3,2,2,3,1,1,906,5,0,134,1040,2,4,1,3,-0.41276977597557846,0,0,-0.41276977597557846,1,0,1,0,3,1,1,5,4,0,1,2,1965.0,1,1,384,2,3,2,0,0,0,0,0,0,0,3,2,0,2,2008,2,3,-0.1026242826873754,0,0,0
12,60,3,-0.9172522314498426,-0.21549547591085272,1,2,1,1,1,0,0,21,2,1,3,5,9,5,2005,2006,2,0,3,4,4,286.0,3,3,4,4,3,1,6,998,5,0,177,1175,2,4,1,3,-0.39870454977015557,1142,0,-0.33298692356060156,1,0,3,0,4,1,3,11,4,2,4,5,2005.0,3,3,736,2,3,2,147,21,0,0,0,0,0,3,2,0,7,2006,3,4,-0.06787268989814556,0,0,0
13,20,3,-1.0028194197605125,-0.21058579449346004,1,2,3,1,1,0,0,6,2,1,3,3,5,6,1962,1962,2,0,6,7,1,0.0,1,3,2,2,3,1,4,737,5,0,175,912,2,2,1,3,-0.4278352067841866,0,0,-0.4278352067841866,1,0,1,0,2,1,1,4,4,0,1,2,1962.0,1,1,352,2,3,2,140,0,0,0,176,0,0,3,2,0,9,2008,2,3,-0.09860601242574976,1,0,0
14,20,3,-0.892132594376882,-0.22223425897292096,1,2,1,1,1,0,0,14,2,1,3,3,7,5,2006,2007,0,0,10,10,4,306.0,2,3,4,3,3,3,5,0,5,0,1494,1494,2,4,1,3,-0.3744023899623278,0,0,-0.3744023899623278,0,0,2,0,3,1,2,7,4,1,4,4,2006.0,2,3,840,2,3,2,160,33,0,0,0,0,0,3,2,0,8,2007,3,4,-0.07492009609288992,0,0,0
15,20,3,-1.0028194197605125,-0.2207357857886313,1,2,1,1,1,1,0,8,2,1,3,3,6,5,1960,1960,2,0,4,3,2,212.0,1,3,2,2,3,1,2,733,5,0,520,1253,2,2,1,3,-0.392484348050693,0,0,-0.392484348050693,1,0,1,1,2,1,1,5,4,1,2,4,1960.0,2,1,352,2,3,2,0,213,176,0,0,0,0,0,2,0,5,2008,2,3,-0.09538235796283519,1,0,0
16,45,1,-1.1578643093988554,-0.25790298029268655,1,2,0,1,1,1,0,3,2,1,3,2,7,8,1929,2001,0,0,2,1,1,0.0,1,3,1,2,3,1,5,0,5,0,832,832,2,4,1,2,-0.4356279437041632,0,0,-0.4356279437041632,0,0,1,0,2,1,1,5,4,0,1,2,1991.0,1,2,576,2,3,2,48,112,0,0,0,0,0,4,2,0,7,2007,2,3,-0.1018953933730659,0,0,0
17,20,3,-1.0028194197605125,-0.218998762798424,1,2,1,1,1,4,0,8,2,1,3,3,6,7,1970,1970,0,0,2,1,2,180.0,1,3,2,2,3,1,4,578,5,0,426,1004,2,4,1,3,-0.41674607240441397,0,0,-0.41674607240441397,1,0,1,0,2,1,1,5,4,1,3,4,1970.0,3,2,480,2,3,2,0,0,0,0,0,0,0,3,1,700,3,2010,2,3,-0.09732779592116114,1,0,0
18,90,3,-0.9841682457564862,-0.22145141467074195,1,2,0,1,1,0,0,6,2,1,2,3,4,5,1967,1967,0,0,4,3,1,0.0,1,3,0,0,1,0,0,0,0,0,0,0,2,2,1,3,-0.38893862703832593,0,0,-0.38893862703832593,0,0,2,0,2,2,1,6,4,0,1,1,1967.0,1,2,516,2,3,2,0,0,0,0,0,0,0,3,1,500,10,2006,2,3,-0.11692751112662335,0,0,0
19,20,3,-1.0230306148604469,-0.20744132521756975,1,2,0,1,1,0,0,10,3,1,3,3,5,5,2004,2004,0,0,10,10,1,0.0,1,3,4,2,3,1,6,646,5,0,468,1114,2,4,1,3,-0.40514310942890547,0,0,-0.40514310942890547,1,0,1,1,3,1,2,6,4,0,1,2,2004.0,1,2,576,2,3,2,0,102,0,0,0,0,0,3,2,0,6,2008,2,3,-0.09491384918450319,0,0,0
20,20,3,-0.9964393026543474,-0.24377101420432215,1,2,0,1,1,0,0,8,2,1,3,3,5,6,1958,1965,2,0,8,7,1,0.0,1,3,2,2,3,1,3,504,5,0,525,1029,2,2,1,3,-0.38554431773263526,0,0,-0.38554431773263526,0,0,1,0,3,1,1,6,3,0,1,4,1958.0,1,1,294,2,3,2,0,0,0,0,0,0,0,2,2,0,5,2009,0,0,-0.09993658500471322,0,0,0
21,60,3,-0.8560545381586014,-0.2053134866242189,1,2,1,1,1,1,0,21,2,1,3,5,8,5,2005,2006,0,0,10,10,2,380.0,2,3,4,4,3,3,5,0,5,0,1158,1158,2,4,1,3,-0.4009197434668245,1218,0,-0.33104795182923613,0,0,3,1,4,1,2,9,4,1,4,5,2005.0,2,3,853,2,3,2,240,154,0,0,0,0,0,3,2,0,11,2006,3,4,-0.06981938948241695,0,0,0
22,45,1,-1.095636186872823,-0.24473792772138114,1,0,0,0,1,0,0,0,2,1,3,2,7,7,1930,1950,0,0,2,1,1,0.0,1,3,4,2,3,1,5,0,5,0,637,637,2,4,1,1,-0.40573613963437294,0,0,-0.40573613963437294,0,0,1,0,3,1,2,6,4,1,4,4,1930.0,1,1,280,2,3,0,0,0,205,0,0,0,0,4,2,0,6,2007,2,3,-0.09982811713112898,0,0,0
23,20,3,-0.9668839671711909,-0.22768687915446087,1,2,0,1,1,0,0,14,2,1,3,3,8,5,2002,2002,2,0,10,10,2,281.0,2,3,4,3,3,1,5,0,5,0,1777,1777,2,4,1,3,-0.35654403473777724,0,0,-0.35654403473777724,0,0,2,0,3,1,2,7,4,1,4,4,2002.0,2,2,534,2,3,2,171,159,0,0,0,0,0,3,2,0,9,2008,2,3,-0.08163956051397181,0,0,0
24,120,1,-1.2524485500416564,-0.28448749827698977,1,2,0,1,1,0,0,1,2,1,4,3,5,7,1976,1976,0,0,9,9,1,0.0,1,3,4,3,3,1,6,840,5,0,200,1040,2,2,1,3,-0.41063901296379424,0,0,-0.41063901296379424,1,0,1,0,3,1,1,6,4,1,3,4,1976.0,1,2,572,2,3,2,100,110,0,0,0,0,0,3,2,0,6,2007,2,3,-0.10250657127890717,0,0,0
25,20,3,-1.0028194197605125,-0.23815835926725343,1,2,1,1,1,0,0,6,2,1,3,3,5,8,1968,2001,0,0,7,7,1,0.0,1,2,2,2,3,2,1,188,6,668,204,1060,2,4,1,3,-0.41063901296379424,0,0,-0.41063901296379424,1,0,1,0,3,1,2,6,4,1,3,4,1968.0,1,1,270,2,3,2,406,90,0,0,0,0,0,2,2,0,5,2010,2,3,-0.09609819527956652,1,0,0
26,20,3,-0.8284008430017494,-0.20525350790309319,1,2,0,1,1,1,0,21,2,1,3,3,8,5,2007,2007,0,0,10,10,4,640.0,2,3,4,3,3,1,5,0,5,0,1566,1566,2,4,1,3,-0.36761767131880346,0,0,-0.36761767131880346,0,0,2,0,3,1,2,7,4,1,4,4,2007.0,2,3,890,2,3,2,0,56,0,0,0,0,0,3,2,0,7,2009,2,3,-0.07788355291625339,0,0,0
27,20,3,-1.069119436254559,-0.24697289007938608,1,2,0,1,1,1,0,8,2,1,3,3,5,7,1951,2000,0,0,2,1,1,0.0,1,3,2,2,3,2,2,234,2,486,180,900,2,2,1,3,-0.42939194285999693,0,0,-0.42939194285999693,0,1,1,0,3,1,2,5,4,0,1,2,2005.0,1,2,576,2,3,2,222,32,0,0,0,0,0,3,2,0,5,2010,2,3,-0.1010977685788975,0,0,0
28,20,3,-0.8662166538040575,-0.2177545160920695,1,2,0,1,1,0,0,21,2,1,3,3,8,5,2007,2008,0,0,10,10,4,200.0,2,3,4,4,3,1,6,1218,5,0,486,1704,2,4,1,3,-0.3615068082739847,0,0,-0.3615068082739847,1,0,2,0,3,1,2,7,4,1,4,4,2008.0,2,3,772,2,3,2,0,50,0,0,0,0,0,3,2,0,5,2010,2,3,-0.0718618807305935,0,0,0
29,20,3,-1.2082997735892025,-0.19756676923324473,1,2,1,1,1,4,0,8,2,1,3,3,5,6,1957,1997,0,0,4,3,1,0.0,1,3,2,2,3,4,2,1277,5,0,207,1484,2,2,1,3,-0.36761767131880346,0,0,-0.36761767131880346,1,0,1,0,2,1,1,6,4,2,4,4,1957.0,2,1,319,2,3,2,288,258,0,0,0,0,0,3,2,0,12,2006,2,3,-0.085267285932413,0,0,0
30,30,1,-1.069119436254559,-0.2556641645915916,1,2,1,1,1,0,0,3,1,0,3,3,4,6,1927,1950,0,0,4,3,1,0.0,1,3,1,2,3,1,5,0,5,0,520,520,2,1,0,3,-0.50077671936732,0,0,-0.50077671936732,0,0,1,0,1,1,0,4,4,0,1,2,1920.0,1,1,240,1,3,2,49,0,87,0,0,0,0,3,2,0,5,2008,2,3,-0.12823101167417592,0,0,0
31,70,0,-1.1696950179202557,-0.23622375369337548,1,1,0,1,1,0,0,0,1,1,3,5,4,4,1920,1950,1,0,8,8,1,0.0,1,0,1,2,3,1,5,0,5,0,649,649,2,2,0,3,-0.47020108524224946,668,0,-0.3872627516684667,0,0,1,0,3,1,1,6,4,0,1,2,1920.0,1,1,250,2,1,0,0,54,172,0,0,0,0,2,2,0,7,2008,2,3,-0.1521156876590361,0,0,0
32,20,3,-1.0028194197605125,-0.23589581944345794,1,2,1,1,1,4,0,6,2,1,3,3,5,6,1966,2006,0,0,6,6,1,0.0,1,3,2,2,3,1,5,0,5,0,1228,1228,2,3,1,3,-0.39462034130276713,0,0,-0.39462034130276713,0,0,1,1,3,1,2,6,4,0,1,4,1966.0,1,1,271,2,3,2,0,65,0,0,0,0,0,2,2,0,6,2008,2,3,-0.09724018245232817,1,0,0
33,20,3,-0.9172522314498426,-0.22003036303637538,1,2,0,1,1,1,0,14,2,1,3,3,8,5,2007,2007,0,0,10,10,1,0.0,2,3,4,4,3,3,5,0,5,0,1234,1234,2,4,1,3,-0.3941025075213154,0,0,-0.3941025075213154,0,0,2,0,3,1,2,7,4,0,1,4,2007.0,2,2,484,2,3,2,0,30,0,0,0,0,0,3,2,0,1,2008,2,3,-0.09039046379633126,0,0,0
34,20,3,-0.9964393026543474,-0.2228051842000611,1,2,1,1,1,0,0,8,2,1,3,3,5,5,1959,1959,2,0,8,8,1,0.0,1,3,2,2,3,1,1,1018,5,0,380,1398,2,3,1,3,-0.36173280199443647,0,0,-0.36173280199443647,0,1,1,1,4,1,2,6,4,1,4,4,1959.0,2,2,447,2,3,2,0,38,0,0,0,0,0,3,2,0,4,2010,2,3,-0.09343690590373929,0,0,0
35,120,3,-1.069119436254559,-0.24594703836483017,1,2,0,1,1,0,0,21,2,1,4,3,9,5,2005,2005,2,0,4,3,2,246.0,3,3,4,4,3,1,6,1153,5,0,408,1561,2,4,1,3,-0.3700439616764232,0,0,-0.3700439616764232,1,0,2,0,2,1,3,6,4,1,4,4,2005.0,3,2,556,2,3,2,203,47,0,0,0,0,0,3,2,0,8,2007,2,3,-0.07516427086313492,0,0,0
36,60,3,-0.8342115108295897,-0.20861507803965856,1,2,0,1,1,0,0,21,2,1,3,5,8,5,2004,2005,0,0,10,10,4,132.0,2,3,4,4,3,3,5,0,5,0,1117,1117,2,4,1,3,-0.4033891159878375,1320,0,-0.32830960783840935,0,0,3,1,4,1,2,9,4,1,4,5,2004.0,3,3,691,2,3,2,113,32,0,0,0,0,0,3,2,0,9,2006,2,3,-0.07153487577687305,0,0,0
